keys,fanout,arm,repetition,run,build_ns,probe_ns,build_bytes,matched_pairs,checksum
100000,1,copied,0,3,5277715,32000052,8388736,200188,24213306.38
100000,1,copied,0,4,6159483,27930416,8388736,200188,24213306.38
100000,1,row-id,0,4,3425653,23214460,5242892,200188,24213306.38
100000,1,row-id,0,5,3411095,21424625,5242892,200188,24213306.38
100000,1,copied,0,5,4757843,26427497,8388736,200188,24213306.38
100000,1,copied,0,6,4711206,26369989,8388736,200188,24213306.38
100000,1,row-id,0,6,3410464,21308077,5242892,200188,24213306.38
100000,1,row-id,0,7,3340243,21043192,5242892,200188,24213306.38
100000,1,copied,0,7,4857188,26023902,8388736,200188,24213306.38
100000,1,copied,0,8,4772691,30926265,8388736,200188,24213306.38
100000,1,row-id,0,8,3396388,21503834,5242892,200188,24213306.38
100000,1,row-id,0,9,3353829,22060113,5242892,200188,24213306.38
100000,1,copied,0,9,4803469,28570973,8388736,200188,24213306.38
100000,1,row-id,1,0,3352105,21016522,5242892,200188,24213306.38
100000,1,copied,1,0,4687461,26825310,8388736,200188,24213306.38
100000,1,copied,1,1,4792157,27356022,8388736,200188,24213306.38
100000,1,row-id,1,1,3382061,21371726,5242892,200188,24213306.38
100000,1,row-id,1,2,3325736,21035578,5242892,200188,24213306.38
100000,1,copied,1,2,4749187,26841210,8388736,200188,24213306.38
100000,1,copied,1,3,4671461,27161248,8388736,200188,24213306.38
100000,1,row-id,1,3,3439358,22562722,5242892,200188,24213306.38
100000,1,row-id,1,4,3392201,21542566,5242892,200188,24213306.38
100000,1,copied,1,4,4831560,28721915,8388736,200188,24213306.38
100000,1,copied,1,5,4950784,27015716,8388736,200188,24213306.38
100000,1,row-id,1,5,3471198,21802111,5242892,200188,24213306.38
100000,1,row-id,1,6,3589699,24971745,5242892,200188,24213306.38
100000,1,copied,1,6,5388221,27258810,8388736,200188,24213306.38
100000,1,copied,1,7,4783050,27031646,8388736,200188,24213306.38
100000,1,row-id,1,7,3446301,21910484,5242892,200188,24213306.38
100000,1,row-id,1,8,3388563,22404296,5242892,200188,24213306.38
100000,1,copied,1,8,4752743,27616710,8388736,200188,24213306.38
100000,1,copied,1,9,4757993,26799882,8388736,200188,24213306.38
100000,1,row-id,1,9,3558191,22843958,5242892,200188,24213306.38
10000,10,copied,0,0,2855818,19981478,4718720,1993180,241278303.75
10000,10,row-id,0,0,1466020,43946241,2293772,1993180,241278303.75
10000,10,row-id,0,1,1391391,41448793,2293772,1993180,241278303.75
10000,10,copied,0,1,3261827,24139349,4718720,1993180,241278303.75
10000,10,copied,0,2,3394534,25845118,4718720,1993180,241278303.75
10000,10,row-id,0,2,2279290,41548139,2293772,1993180,241278303.75
10000,10,row-id,0,3,1087552,41401254,2293772,1993180,241278303.75
10000,10,copied,0,3,4327288,23323224,4718720,1993180,241278303.75
10000,10,copied,0,4,2785336,23481891,4718720,1993180,241278303.75
10000,10,row-id,0,4,1089517,41191492,2293772,1993180,241278303.75
10000,10,row-id,0,5,1077323,43347572,2293772,1993180,241278303.75
10000,10,copied,0,5,2809922,25729402,4718720,1993180,241278303.75
10000,10,copied,0,6,2833746,22444051,4718720,1993180,241278303.75
10000,10,row-id,0,6,1083525,42785061,2293772,1993180,241278303.75
10000,10,row-id,0,7,1133739,42189327,2293772,1993180,241278303.75
10000,10,copied,0,7,2826093,22108022,4718720,1993180,241278303.75
10000,10,copied,0,8,2774856,22270146,4718720,1993180,241278303.75
10000,10,row-id,0,8,1091400,41932507,2293772,1993180,241278303.75
10000,10,row-id,0,9,1092342,42206309,2293772,1993180,241278303.75
10000,10,copied,0,9,3251177,22919199,4718720,1993180,241278303.75
10000,10,row-id,1,0,1082053,41052312,2293772,1993180,241278303.75
10000,10,copied,1,0,2799072,22308848,4718720,1993180,241278303.75
10000,10,copied,1,1,2738348,22719315,4718720,1993180,241278303.75
10000,10,row-id,1,1,1101008,41494478,2293772,1993180,241278303.75
10000,10,row-id,1,2,1086100,40942646,2293772,1993180,241278303.75
10000,10,copied,1,2,2809752,26083874,4718720,1993180,241278303.75
10000,10,copied,1,3,2786658,22374952,4718720,1993180,241278303.75
10000,10,row-id,1,3,1095989,48331758,2293772,1993180,241278303.75
10000,10,row-id,1,4,1898619,46582900,2293772,1993180,241278303.75
10000,10,copied,1,4,3644081,23554206,4718720,1993180,241278303.75
10000,10,copied,1,5,2888939,22569215,4718720,1993180,241278303.75
10000,10,row-id,1,5,1136304,42785952,2293772,1993180,241278303.75
10000,10,row-id,1,6,1077454,40490151,2293772,1993180,241278303.75
10000,10,copied,1,6,2775568,22130635,4718720,1993180,241278303.75
10000,10,copied,1,7,2791938,22248525,4718720,1993180,241278303.75
10000,10,row-id,1,7,1083916,40731973,2293772,1993180,241278303.75
10000,10,row-id,1,8,1067255,40935614,2293772,1993180,241278303.75
10000,10,copied,1,8,2788702,22045546,4718720,1993180,241278303.75
10000,10,copied,1,9,2823818,22253003,4718720,1993180,241278303.75
10000,10,row-id,1,9,1077243,41140406,2293772,1993180,241278303.75
1000000,1,copied,0,0,112484658,74813065,67108992,200020,24180275.38
1000000,1,row-id,0,0,55742360,90468196,41943052,200020,24180275.38
1000000,1,row-id,0,1,48591904,81584592,41943052,200020,24180275.38
1000000,1,copied,0,1,130959750,77367340,67108992,200020,24180275.38
1000000,1,copied,0,2,137637492,78304912,67108992,200020,24180275.38
1000000,1,row-id,0,2,48718931,83840158,41943052,200020,24180275.38
1000000,1,row-id,0,3,54826938,85083181,41943052,200020,24180275.38
1000000,1,copied,0,3,127073587,74787808,67108992,200020,24180275.38
1000000,1,copied,0,4,123478106,84177067,67108992,200020,24180275.38
1000000,1,row-id,0,4,46720937,79467936,41943052,200020,24180275.38
1000000,1,row-id,0,5,48746413,73574991,41943052,200020,24180275.38
1000000,1,copied,0,5,129694225,78221315,67108992,200020,24180275.38
1000000,1,copied,0,6,121153861,86546316,67108992,200020,24180275.38
1000000,1,row-id,0,6,52099550,86229715,41943052,200020,24180275.38
1000000,1,row-id,0,7,51894216,77220825,41943052,200020,24180275.38
1000000,1,copied,0,7,126195706,84527212,67108992,200020,24180275.38
1000000,1,copied,0,8,115552342,80138148,67108992,200020,24180275.38
1000000,1,row-id,0,8,54551564,77628397,41943052,200020,24180275.38
1000000,1,row-id,0,9,46064641,75725871,41943052,200020,24180275.38
1000000,1,copied,0,9,126368729,76875179,67108992,200020,24180275.38
1000000,1,row-id,1,0,45470761,74617911,41943052,200020,24180275.38
1000000,1,copied,1,0,126151523,73805312,67108992,200020,24180275.38
1000000,1,copied,1,1,124318406,74208284,67108992,200020,24180275.38
1000000,1,row-id,1,1,50220799,84713670,41943052,200020,24180275.38
1000000,1,row-id,1,2,55106591,102150683,41943052,200020,24180275.38
1000000,1,copied,1,2,126976334,83108781,67108992,200020,24180275.38
1000000,1,copied,1,3,138581306,81676353,67108992,200020,24180275.38
1000000,1,row-id,1,3,51743215,83727447,41943052,200020,24180275.38
1000000,1,row-id,1,4,54901598,80604099,41943052,200020,24180275.38
1000000,1,copied,1,4,122146387,85293775,67108992,200020,24180275.38
1000000,1,copied,1,5,126002745,74965169,67108992,200020,24180275.38
1000000,1,row-id,1,5,42908201,80875316,41943052,200020,24180275.38
1000000,1,row-id,1,6,44876549,72393062,41943052,200020,24180275.38
1000000,1,copied,1,6,114946099,74580340,67108992,200020,24180275.38
1000000,1,copied,1,7,125328405,78226435,67108992,200020,24180275.38
1000000,1,row-id,1,7,54913681,71068807,41943052,200020,24180275.38
1000000,1,row-id,1,8,47710257,75817342,41943052,200020,24180275.38
1000000,1,copied,1,8,116420224,75944369,67108992,200020,24180275.38
1000000,1,copied,1,9,121563578,74709000,67108992,200020,24180275.38
1000000,1,row-id,1,9,46351566,73504629,41943052,200020,24180275.38
