case,repetition,arm,samples,median_ms,min_ms,max_ms,speedup,groups,sampled_query_peak_bytes_median,sampled_query_peak_bytes_max,sampled_batch_native_peak_delta_bytes_median,sampled_batch_native_peak_delta_bytes_max,sampled_native_peak_delta_bytes_median,sampled_native_peak_delta_bytes_max,retained_query_bytes_median,retained_query_bytes_max,retained_native_delta_bytes_median,retained_native_delta_bytes_max,build_ns_median,init_ns_median,probe_ns_median,merge_ns_median,build_rows_median,build_keys_median,build_bytes_median,scanned_rows_median,matched_pairs_median,null_extended_rows_median,surviving_rows_median,merge_cardinality_median,batch_median_ms,queries_per_second
hot-chain,1,baseline,10,3648.196049,3636.7891,3660.341073,1.0,60,294412.0,294412,294676.0,294676,,,294412.0,294412,,,,,,,,,,,,,,,3648.4458705,0.27408930692534994
hot-chain,1,candidate,10,1015.3463615,1007.034654,1028.038448,3.5930557170761084,60,203632.0,203632,203632.0,203632,,,182960.0,182960,,,428074.5,67486.0,1014501823.0,81261.5,1000.0,1.0,33920.0,100000.0,90099000.0,0.0,90099000.0,60.0,1015.600907,0.9846387425488977
hot-key-90pct,0,baseline,10,483.326415,477.968196,494.72542,1.0,120,494604.0,864020,494872.0,864288,,,494604.0,494604,,,,,,,,,,,,,,,483.601323,2.067818991471204
hot-key-90pct,0,candidate,10,141.459583,140.230327,143.975763,3.416710305161864,120,1020272.0,1470432,1020272.0,1470432,,,979120.0,979120,,,1164099.5,84333.0,139317291.0,209897.0,10000.0,10000.0,786560.0,10000000.0,9099964.0,0.0,9099964.0,120.0,141.7251745,7.055909463706464
hot-key-90pct,1,baseline,10,494.125393,489.932799,496.18509,1.0,120,494604.0,494604,494872.0,494872,,,494604.0,494604,,,,,,,,,,,,,,,494.298797,2.023067840887341
hot-key-90pct,1,candidate,10,139.721687,137.998058,142.952553,3.5364974730086103,120,1020272.0,1020272,1020272.0,1020272,,,979120.0,979120,,,724473.5,63989.5,138349880.0,183778.0,10000.0,10000.0,786560.0,10000000.0,9099964.0,0.0,9099964.0,120.0,139.9621515,7.144788710968051
inner-swapped,0,baseline,10,38.50917,37.450473,42.939835,1.0,120,17191596.0,17191596,17191864.0,17191864,,,17140748.0,17140748,,,,,,,,,,,,,,,38.9960595,25.64361663259848
inner-swapped,0,candidate,10,33.49745,32.613479,34.625537,1.1496149706917989,120,50864640.0,50864640,50864640.0,50864640,,,34232880.0,34232880,,,28193740.0,175602.5,4641703.5,221208.5,1000000.0,10000.0,34078720.0,10000.0,100044.0,0.0,100044.0,120.0,35.31224,28.31879257730464
inner-swapped,1,baseline,10,38.338817,35.604295,42.448817,1.0,120,17191596.0,17191596,17191864.0,17191864,,,17140748.0,17140748,,,,,,,,,,,,,,,38.544802,25.943835435968772
inner-swapped,1,candidate,10,33.111935,32.380905,34.307553,1.1578549245158882,120,50864640.0,50864640,50864640.0,50864640,,,34232880.0,34232880,,,27619191.5,132953.5,4760505.5,180236.5,1000000.0,10000.0,34078720.0,10000.0,100044.0,0.0,100044.0,120.0,34.7762485,28.755258060684724
inner,0,baseline,10,244.246819,241.951635,246.560068,1.0,120,494604.0,975728,494872.0,975996,,,494604.0,494604,,,,,,,,,,,,,,,244.4843675,4.090241066230952
inner,0,candidate,10,75.8015355,74.368315,77.840198,3.2221882761200793,120,1093752.0,1443208,1093752.0,1443208,,,979120.0,979120,,,1118348.0,85229.0,73667646.5,207227.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,76.056321,13.148151091873087
inner,1,baseline,10,242.4656215,238.355071,247.236133,1.0,120,494604.0,494604,494872.0,494872,,,494604.0,494604,,,,,,,,,,,,,,,242.700224,4.120309340958828
