case,repetition,arm,samples,median_ms,min_ms,max_ms,speedup,groups,sampled_query_peak_bytes_median,sampled_query_peak_bytes_max,sampled_batch_native_peak_delta_bytes_median,sampled_batch_native_peak_delta_bytes_max,sampled_native_peak_delta_bytes_median,sampled_native_peak_delta_bytes_max,retained_query_bytes_median,retained_query_bytes_max,retained_native_delta_bytes_median,retained_native_delta_bytes_max,build_ns_median,init_ns_median,probe_ns_median,merge_ns_median,build_rows_median,build_keys_median,build_bytes_median,scanned_rows_median,matched_pairs_median,null_extended_rows_median,surviving_rows_median,merge_cardinality_median,batch_median_ms,queries_per_second
concurrent-4,1,baseline,40,239.972057,238.089445,246.77585,1.0,120,494604.0,850876,1979488.0,2301968,,,494604.0,494604,,,,,,,,,,,,,,,242.6585645,16.484066854355763
concurrent-4,1,candidate,40,88.3868655,36.780563,140.37455,2.7150194278583166,120,1020272.0,1020272,3978208.0,4076992,,,979120.0,979120,,,957163.0,36648.0,87259008.5,59921.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,124.6000095,32.10272628430257
concurrent-scalar-left,0,baseline,40,381.9294825,375.758224,401.984102,1.0,1,287752.0,604160,1152032.0,2417664,,,287752.0,287752,,,,,,,,,,,,,,,393.978441,10.152839809831118
concurrent-scalar-left,0,candidate,40,177.193753,74.517334,274.140469,2.1554342409576934,1,838592.0,1166080,3354368.0,3722952,,,838592.0,838592,,,879944.0,53635.5,174377648.0,15294.0,10000.0,10000.0,786432.0,10000000.0,999862.0,9000138.0,10000000.0,1.0,247.245562,16.1782479234147
concurrent-scalar-left,1,baseline,40,382.044642,375.626703,406.759628,1.0,1,287752.0,567224,1152032.0,1413072,,,287752.0,287752,,,,,,,,,,,,,,,391.6158455,10.214091298815946
concurrent-scalar-left,1,candidate,40,175.5940715,74.890953,259.804093,2.1757263143135215,1,838592.0,921072,3354368.0,3411248,,,838592.0,838592,,,774075.5,36543.0,174690439.0,9052.0,10000.0,10000.0,786432.0,10000000.0,999862.0,9000138.0,10000000.0,1.0,243.474369,16.42883403468231
fanout-10,0,baseline,10,641.2218785,636.344645,644.700378,1.0,120,2499084.0,3027220,2499352.0,3027488,,,2499084.0,2499084,,,,,,,,,,,,,,,641.458841,1.5589464765051075
fanout-10,0,candidate,10,110.675455,109.86223,114.905158,5.793713506757212,120,4981360.0,5143768,4981360.0,5143768,,,4911280.0,4911280,,,3277792.0,84948.5,106802631.5,208564.5,100000.0,10000.0,4718720.0,10000000.0,9998620.0,0.0,9998620.0,120.0,110.9104835,9.016280232878076
fanout-10,1,baseline,10,640.0339965,636.736905,643.751059,1.0,120,2499084.0,2499084,2499352.0,2499352,,,2499084.0,2499084,,,,,,,,,,,,,,,640.2854605,1.5618033856634794
fanout-10,1,candidate,10,111.642197,110.22966,114.134422,5.732903988802728,120,4952432.0,5209960,4963296.0,5209960,,,4911280.0,4911280,,,3281829.0,79153.0,107512014.0,181564.5,100000.0,10000.0,4718720.0,10000000.0,9998620.0,0.0,9998620.0,120.0,111.8958765,8.936879814333462
high-cardinality,0,baseline,10,442.4276395,417.108478,467.078553,1.0,486759,59073548.0,59073548,59073804.0,59073804,,,59073548.0,59073548,,,,,,,,,,,,,,,444.4341075,2.2500523319983943
high-cardinality,0,candidate,10,226.851871,202.196303,259.75845,1.9502931033793414,486759,95430656.0,95733760,95430656.0,95733760,,,59557888.0,59557888,,,1106852.5,71869.0,51858854.5,8564998.5,10000.0,10000.0,786432.0,10000000.0,999862.0,0.0,999862.0,486759.0,227.368361,4.398149309788973
high-cardinality,1,baseline,10,421.4754365,413.37546,445.440162,1.0,486759,59073548.0,59073548,59073804.0,59073804,,,59073548.0,59073548,,,,,,,,,,,,,,,423.7540825,2.3598592705003614
high-cardinality,1,candidate,10,208.266284,200.907297,237.222852,2.023733407083789,486759,95389696.0,95627264,95389696.0,95627264,,,59557888.0,59557888,,,674364.5,64375.5,51033904.5,8412763.5,10000.0,10000.0,786432.0,10000000.0,999862.0,0.0,999862.0,486759.0,208.7325095,4.79082056932775
hot-chain,0,baseline,10,3645.4245665,3642.630564,3665.541998,1.0,60,294412.0,294412,294676.0,294676,,,294412.0,294412,,,,,,,,,,,,,,,3645.6798335,0.2742972629716526
