case,repetition,arm,samples,median_ms,min_ms,max_ms,speedup,groups,sampled_query_peak_bytes_median,sampled_query_peak_bytes_max,sampled_batch_native_peak_delta_bytes_median,sampled_batch_native_peak_delta_bytes_max,sampled_native_peak_delta_bytes_median,sampled_native_peak_delta_bytes_max,retained_query_bytes_median,retained_query_bytes_max,retained_native_delta_bytes_median,retained_native_delta_bytes_max,build_ns_median,init_ns_median,probe_ns_median,merge_ns_median,build_rows_median,build_keys_median,build_bytes_median,scanned_rows_median,matched_pairs_median,null_extended_rows_median,surviving_rows_median,merge_cardinality_median,batch_median_ms,queries_per_second
primary-w4,1,baseline,10,2315.3970215,2308.017053,2324.594582,1.0,120,469004.0,470028,,,487704.0,488728,,,487692.0,487692,,,,,,,,,,,,,,
primary-w4,1,candidate,10,312.122682,309.654348,315.234385,7.418227367083818,120,968992.0,968992,,,1001760.0,1091744,,,960672.0,960672,862296.0,74119.0,310776688.5,171841.0,10000.0,10000.0,786560.0,100000000.0,9998251.0,0.0,9998251.0,120.0,,
right-swapped,0,baseline,10,23.134286,22.125095,25.17224,1.0,120,296972.0,296972,313624.0,336256,,,296972.0,296972,,,,,,,,,,,,,,,23.2906385,42.93570569136608
right-swapped,0,candidate,10,45.5400865,43.172286,56.420374,0.5079982884968829,120,50855936.0,50855936,50860032.0,50860032,,,34220080.0,34220080,,,39309618.5,177066.0,4688196.0,205669.5,1000000.0,10000.0,34078720.0,10000.0,100044.0,0.0,100044.0,120.0,50.032311,19.98708394661202
right-swapped,1,baseline,10,22.026552,21.77434,23.58829,1.0,120,296972.0,296972,313624.0,313624,,,296972.0,296972,,,,,,,,,,,,,,,22.161243,45.12382270254426
right-swapped,1,candidate,10,42.2774745,41.571956,44.543719,0.5209997110872836,120,50855936.0,50855936,50860032.0,50860032,,,34220080.0,34220080,,,37438387.0,161597.0,4250874.0,167267.0,1000000.0,10000.0,34078720.0,10000.0,100044.0,0.0,100044.0,120.0,45.285145,22.08229652350677
right,0,baseline,10,3813.1207475,3802.836776,3835.701858,1.0,180,137515020.0,137517068,137939736.0,137939736,,,137515020.0,137515020,,,,,,,,,,,,,,,3820.468076,0.26174803194455487
right,0,candidate,10,111.511536,109.570259,115.884446,34.19485449021167,180,1012080.0,1049728,1044848.0,1476224,,,938160.0,938160,,,963530.0,68568.0,109658359.0,240574.5,10000.0,10000.0,786560.0,10000000.0,999862.0,9000138.0,10000000.0,180.0,111.7490645,8.948620773465178
right,1,baseline,10,3833.457432,3792.331217,3851.014956,1.0,180,137515020.0,137515020,137939736.0,137939736,,,137515020.0,137515020,,,,,,,,,,,,,,,3840.8766905,0.2603572258576782
right,1,candidate,10,110.897936,108.841311,119.926094,34.567437143284614,180,1012080.0,1012080,1044848.0,1044848,,,938160.0,938160,,,801187.5,77645.0,109633653.0,193366.0,10000.0,10000.0,786560.0,10000000.0,999862.0,9000138.0,10000000.0,180.0,111.1411645,8.997566333759261
scalar-inner,0,baseline,10,210.99945,209.158451,211.672408,1.0,1,327692.0,327692,491792.0,756492,,,327692.0,327692,,,,,,,,,,,,,,,211.2397295,4.7339579650427455
scalar-inner,0,candidate,10,29.019392,27.227268,33.263287,7.270981073621391,1,787392.0,917504,820160.0,1344000,,,787392.0,787392,,,939570.5,102887.5,27855382.0,18113.5,10000.0,10000.0,786432.0,10000000.0,999862.0,0.0,999862.0,1.0,29.237499,34.20265187525103
scalar-inner,1,baseline,10,209.555497,209.138734,211.263936,1.0,1,327692.0,327692,344332.0,344332,,,327692.0,327692,,,,,,,,,,,,,,,209.7292075,4.768053109627089
scalar-inner,1,candidate,10,28.289087,26.72557,32.837061,7.4076444036529,1,787392.0,787392,820160.0,820160,,,787392.0,787392,,,593454.0,79123.0,27561843.0,13525.5,10000.0,10000.0,786432.0,10000000.0,999862.0,0.0,999862.0,1.0,28.4850735,35.10610565916216
scalar-left,0,baseline,10,361.164246,358.98262,364.690195,1.0,1,262152.0,262152,321548.0,690952,,,262152.0,262152,,,,,,,,,,,,,,,361.4550845,2.766595471698227
scalar-left,0,candidate,10,63.493116,52.933093,65.868013,5.688242580502743,1,787392.0,787392,820160.0,1212928,,,787392.0,787392,,,978478.5,95989.0,62144225.0,21144.5,10000.0,10000.0,786432.0,10000000.0,999862.0,9000138.0,10000000.0,1.0,63.735739,15.689784345326254
scalar-left,1,baseline,10,359.700383,358.799569,360.385723,1.0,1,262152.0,262152,278792.0,278792,,,262152.0,262152,,,,,,,,,,,,,,,359.9550335,2.7781247848559394
scalar-left,1,candidate,10,60.3833645,52.328754,66.805436,5.956945029123046,1,787392.0,787392,820160.0,820160,,,787392.0,787392,,,619212.5,81262.0,59492470.5,17217.0,10000.0,10000.0,786432.0,10000000.0,999862.0,9000138.0,10000000.0,1.0,60.6306515,16.493307844465434
scalar-right,0,baseline,10,2686.0140575,2669.453088,2713.673234,1.0,1,137363468.0,137363468,137798412.0,137798412,,,137363468.0,137363468,,,,,,,,,,,,,,,2693.7360625,0.37123161913343544
scalar-right,0,candidate,10,60.294065,51.322625,68.939405,44.54856473021018,1,787392.0,787392,1005096.0,1212928,,,787392.0,787392,,,1106687.5,95729.0,59066841.0,19576.5,10000.0,10000.0,786432.0,10000000.0,999862.0,9000138.0,10000000.0,1.0,60.5255525,16.521947486559498
scalar-right,1,baseline,10,2696.516694,2673.235543,2703.90017,1.0,1,137363468.0,137363468,137798412.0,137798412,,,137363468.0,137363468,,,,,,,,,,,,,,,2704.306516,0.36978056817284244
scalar-right,1,candidate,10,55.6848835,49.407818,62.497479,48.42457278374301,1,787392.0,787392,820160.0,820160,,,787392.0,787392,,,623796.0,82218.5,54858398.5,17808.0,10000.0,10000.0,786432.0,10000000.0,999862.0,9000138.0,10000000.0,1.0,55.908661,17.886316397382508
zero-matches,0,baseline,10,54.824191,54.658701,55.662337,1.0,0,268812.0,268812,285460.0,285460,,,268812.0,268812,,,,,,,,,,,,,,,54.997785,18.182550442713286
zero-matches,0,candidate,10,7.595439,6.831816,9.286935,7.218041116517425,0,158128.0,158128,190896.0,190896,,,137456.0,137456,,,355849.5,61685.0,7112786.5,16605.5,1.0,1.0,1216.0,10000000.0,0.0,0.0,0.0,0.0,7.7543455,128.95994897312738
zero-matches,1,baseline,10,55.5131085,54.468396,57.057233,1.0,0,268812.0,268812,285460.0,285460,,,268812.0,268812,,,,,,,,,,,,,,,55.6735335,17.961856148397693
zero-matches,1,candidate,10,8.6768295,6.79108,10.529747,6.397856325285636,0,158128.0,158128,190896.0,190896,,,137456.0,137456,,,263161.5,55679.5,8270770.5,17402.5,1.0,1.0,1216.0,10000000.0,0.0,0.0,0.0,0.0,8.831634,113.22932992920676
