case,repetition,arm,samples,median_ms,min_ms,max_ms,speedup,groups,sampled_query_peak_bytes_median,sampled_query_peak_bytes_max,sampled_batch_native_peak_delta_bytes_median,sampled_batch_native_peak_delta_bytes_max,sampled_native_peak_delta_bytes_median,sampled_native_peak_delta_bytes_max,retained_query_bytes_median,retained_query_bytes_max,retained_native_delta_bytes_median,retained_native_delta_bytes_max,build_ns_median,init_ns_median,probe_ns_median,merge_ns_median,build_rows_median,build_keys_median,build_bytes_median,scanned_rows_median,matched_pairs_median,null_extended_rows_median,surviving_rows_median,merge_cardinality_median,batch_median_ms,queries_per_second
left-swapped,0,candidate,10,21.6353695,20.767386,23.076884,1.8217433494722612,120,32719600.0,32719600,32719612.0,32719612,,,32678448.0,32678448,,,16882175.5,155501.0,4066063.0,200129.0,1000000.0,10000.0,32524288.0,10000.0,100044.0,0.0,100044.0,120.0,21.82603,45.81685262963535
left-swapped,1,baseline,10,40.4605175,35.879726,42.032312,1.0,120,17126056.0,17126056,17126324.0,17126324,,,17075208.0,17075208,,,,,,,,,,,,,,,40.647357,24.601845576331076
left-swapped,1,candidate,10,20.9230765,19.223749,21.4218,1.9337747725579457,120,32719600.0,32719600,32719612.0,32719612,,,32678448.0,32678448,,,16133681.0,113256.5,3794781.0,170409.0,1000000.0,10000.0,32524288.0,10000.0,100044.0,0.0,100044.0,120.0,21.115166,47.359324572679185
left,0,baseline,10,603.831938,601.634924,607.413681,1.0,180,439304.0,805896,439572.0,806164,,,439304.0,439304,,,,,,,,,,,,,,,604.0785195,1.6554139366314613
left,0,candidate,10,102.8167925,101.320858,105.533138,5.87289219316971,180,1063280.0,1063280,1063280.0,1120432,,,989360.0,989360,,,1134777.5,91796.5,100601918.5,241476.5,10000.0,10000.0,786560.0,10000000.0,999862.0,9000138.0,10000000.0,180.0,103.0547725,9.703577774624653
left,1,baseline,10,601.299499,600.523386,602.210498,1.0,180,439304.0,439304,439572.0,439572,,,439304.0,439304,,,,,,,,,,,,,,,601.53802,1.6624053123026206
left,1,candidate,10,102.580408,100.805362,103.604217,5.861738227830016,180,1063280.0,1063280,1063280.0,1063280,,,989360.0,989360,,,834230.0,75722.0,101044505.0,192274.5,10000.0,10000.0,786560.0,10000000.0,999862.0,9000138.0,10000000.0,180.0,102.8579765,9.722143425600056
match-100pct,0,baseline,10,777.08057,773.100009,796.394507,1.0,120,7039688.0,7039688,7039952.0,7039952,,,5409804.0,5409804,,,,,,,,,,,,,,,777.322132,1.2864679375937285
match-100pct,0,candidate,10,122.328548,121.609851,125.22992,6.35240573606743,120,8622448.0,8688608,8622448.0,8688608,,,8581296.0,8581296,,,5253394.0,87503.5,116511535.0,202148.0,100000.0,100000.0,8388736.0,10000000.0,10000000.0,0.0,10000000.0,120.0,122.576371,8.158179197522498
match-100pct,1,baseline,10,775.134314,770.104183,780.963745,1.0,120,7039688.0,7039688,7039952.0,7039952,,,5409804.0,5409804,,,,,,,,,,,,,,,775.4124195,1.2896362952824745
match-100pct,1,candidate,10,123.2852705,120.886785,128.030052,6.287322977484159,120,8688608.0,8688608,8688608.0,8688608,,,8581296.0,8581296,,,5433721.0,73362.5,117246157.0,165224.0,100000.0,100000.0,8388736.0,10000000.0,10000000.0,0.0,10000000.0,120.0,123.538208,8.094661693651894
match-1pct,0,baseline,10,162.5735195,162.203302,163.065014,1.0,120,322572.0,322572,322840.0,322840,,,322572.0,322572,,,,,,,,,,,,,,,162.7847045,6.143083301785273
match-1pct,0,candidate,10,33.9005345,33.350886,35.541082,4.795603429202569,120,299376.0,299376,299376.0,299376,,,258224.0,258224,,,726874.5,70541.5,32552012.5,195630.5,1000.0,1000.0,65664.0,10000000.0,99284.0,0.0,99284.0,120.0,34.09883,29.326519414302485
match-1pct,1,baseline,10,164.099312,162.520585,166.16492,1.0,120,322572.0,322572,322840.0,322840,,,322572.0,322572,,,,,,,,,,,,,,,164.359684,6.084217100344389
match-1pct,1,candidate,10,33.60407,32.953373,35.359873,4.883316574450654,120,299376.0,299376,299376.0,299376,,,258224.0,258224,,,497545.5,62186.0,32570252.0,161507.5,1000.0,1000.0,65664.0,10000000.0,99284.0,0.0,99284.0,120.0,33.7931335,29.59181041911961
mixed,0,baseline,10,318.3864515,316.296554,324.456079,1.0,120,12340436.0,12341460,12340864.0,12341888,,,12340436.0,12340436,,,,,,,,,,,,,,,318.689157,3.137853855504723
mixed,0,candidate,10,40.8979,38.093172,44.023819,7.784909530807205,120,16838480.0,17333560,16838488.0,17333568,,,4450840.0,4450840,,,1193963.0,67716.5,37451466.5,145852.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,41.1883985,24.278681289344135
mixed,1,baseline,10,315.213598,314.160519,320.979648,1.0,120,12340436.0,12340436,12340864.0,12340864,,,12340436.0,12340436,,,,,,,,,,,,,,,315.4823105,3.169749829761057
mixed,1,candidate,10,38.105033,37.331146,40.835037,8.272230022737416,120,16784534.0,17930108,16784542.0,17930116,,,4450840.0,4450840,,,887153.5,57332.5,36608329.5,134677.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,38.348523,26.07662360294815
parquet-scalar-right,0,baseline,10,246.362411,236.604182,270.226253,1.0,1,47927315.0,47938411,47927723.0,47938819,,,47525048.0,47525048,,,,,,,,,,,,,,,246.675953,4.053901435621493
parquet-scalar-right,0,candidate,10,8.6600665,7.387242,9.692512,28.44809690549143,1,3820536.0,3840264,3820544.0,3840272,,,1470824.0,1470824,,,1292286.0,89823.0,7291637.5,13886.0,10000.0,10000.0,786432.0,1000000.0,99347.0,900653.0,1000000.0,1.0,8.8176255,113.40921657423532
parquet-scalar-right,1,baseline,10,248.599498,240.470931,263.530384,1.0,1,47927315.0,48058691,47927723.0,48059099,,,47525048.0,47525048,,,,,,,,,,,,,,,248.8983165,4.017704957036139
parquet-scalar-right,1,candidate,10,7.3878275,6.917213,8.588156,33.6498785333036,1,3820536.0,3840228,3820544.0,3840236,,,1470824.0,1470824,,,789536.5,80290.0,6526112.0,10690.0,10000.0,10000.0,786432.0,1000000.0,99347.0,900653.0,1000000.0,1.0,7.5677085,132.1403962639417
parquet,0,baseline,10,329.1640635,323.901258,336.174255,1.0,120,12338388.0,12339412,12338816.0,12339840,,,12338388.0,12338388,,,,,,,,,,,,,,,329.444953,3.0354084677691207
parquet,0,candidate,10,43.370432,41.825298,45.507973,7.589596144672942,120,16796496.0,17888124,16796504.0,17888132,,,4425240.0,4425240,,,1546381.0,79714.0,41163852.0,118186.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,43.6420295,22.913691490905574
parquet,1,baseline,10,323.059463,321.86558,326.656889,1.0,120,12338388.0,12338388,12338816.0,12338816,,,12338388.0,12338388,,,,,,,,,,,,,,,323.31996,3.0929114305222605
parquet,1,candidate,10,42.2111795,41.4575,45.775985,7.6534099929616985,120,16796496.0,16796496,16796504.0,16796504,,,4425240.0,4425240,,,943739.5,70131.0,40648633.0,112640.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,42.4424165,23.56133515630525
post-null-accepting,0,baseline,10,645.0620755,643.724524,651.378411,1.0,180,439304.0,784648,439572.0,784916,,,439304.0,439304,,,,,,,,,,,,,,,645.3026605,1.5496604325560501
post-null-accepting,0,candidate,10,93.7276565,92.405865,94.908254,6.882302402386429,180,1063280.0,1167232,1063280.0,1167232,,,989360.0,989360,,,1093564.5,69404.5,91564998.0,237404.0,10000.0,10000.0,786560.0,10000000.0,999862.0,9000138.0,9102075.0,180.0,93.973336,10.641316383617582
post-null-accepting,1,baseline,10,644.9102325,642.076753,651.385232,1.0,180,439304.0,439304,439572.0,439572,,,439304.0,439304,,,,,,,,,,,,,,,645.1680795,1.5499836891728924
post-null-accepting,1,candidate,10,93.026849,92.150185,94.988223,6.93251721876552,180,1063280.0,1063280,1063280.0,1063280,,,989360.0,989360,,,916323.5,81057.0,91555818.5,195912.0,10000.0,10000.0,786560.0,10000000.0,999862.0,9000138.0,9102075.0,180.0,93.268977,10.721678656344649
post-reject-all,0,baseline,10,254.0049455,253.111169,257.838931,1.0,0,423944.0,877416,424212.0,877684,,,423944.0,423944,,,,,,,,,,,,,,,254.262141,3.932948869489776
post-reject-all,0,candidate,10,31.6515765,31.107098,34.825531,8.025032986903511,0,994672.0,994672,994672.0,994672,,,974000.0,974000,,,1044468.0,76148.0,30410185.0,20303.0,10000.0,10000.0,786560.0,10000000.0,999862.0,9000138.0,0.0,0.0,31.8538395,31.393389798426025
post-reject-all,1,baseline,10,252.2549165,251.658341,253.344305,1.0,0,423944.0,423944,424212.0,424212,,,423944.0,423944,,,,,,,,,,,,,,,252.4592935,3.961034613289053
post-reject-all,1,candidate,10,30.9732925,30.553092,33.507406,8.144271923948672,0,994672.0,994672,994672.0,994672,,,974000.0,974000,,,700675.5,75676.5,30093703.0,17923.0,10000.0,10000.0,786560.0,10000000.0,999862.0,9000138.0,0.0,0.0,31.171128,32.0809692867066
primary-w1,0,baseline,10,2274.126246,2270.562149,2285.631574,1.0,120,501260.0,1277452,,,501528.0,1277720,,,501516.0,501516,,,,,,,,,,,,,,
primary-w1,0,candidate,10,787.2498655,780.114926,792.837609,2.8886969000060123,120,963776.0,1856640,,,963776.0,1856640,,,953504.0,953504,1002811.0,88911.5,785591523.0,77595.0,10000.0,10000.0,786560.0,100000000.0,9998251.0,0.0,9998251.0,120.0,,
primary-w1,1,baseline,10,2271.1853285,2266.200963,2292.173122,1.0,120,501260.0,502284,,,501528.0,502552,,,501516.0,501516,,,,,,,,,,,,,,
primary-w1,1,candidate,10,785.695391,782.868243,788.781568,2.890669023283096,120,963776.0,963776,,,963776.0,1084576,,,953504.0,953504,808111.5,74724.5,784521806.0,76523.5,10000.0,10000.0,786560.0,100000000.0,9998251.0,0.0,9998251.0,120.0,,
primary-w2,0,baseline,10,2298.095704,2294.020549,2309.356623,1.0,120,501260.0,1228568,,,501528.0,1228836,,,501516.0,501516,,,,,,,,,,,,,,
primary-w2,0,candidate,10,517.2915985,512.441492,530.146955,4.442553698269662,120,963808.0,1456640,,,963808.0,1456640,,,953504.0,953504,1034640.5,79899.0,515940727.0,90454.0,10000.0,10000.0,786560.0,100000000.0,9998251.0,0.0,9998251.0,120.0,,
primary-w2,1,baseline,10,2293.8227245,2291.671822,2329.894614,1.0,120,501260.0,501260,,,501528.0,501528,,,501516.0,501516,,,,,,,,,,,,,,
primary-w2,1,candidate,10,520.962133,516.701107,526.926931,4.403050777013,120,963808.0,963808,,,963808.0,963808,,,953504.0,953504,860740.0,67226.0,519760295.5,92243.0,10000.0,10000.0,786560.0,100000000.0,9998251.0,0.0,9998251.0,120.0,,
primary-w4,0,baseline,10,2315.805328,2310.916489,2333.391243,1.0,120,501260.0,1028824,,,501528.0,1029092,,,501516.0,501516,,,,,,,,,,,,,,
primary-w4,0,candidate,10,327.0876145,322.321007,328.423652,7.080076485133924,120,1020192.0,1020192,,,1020192.0,1110176,,,979104.0,979104,1021674.5,87273.0,325246489.5,204908.0,10000.0,10000.0,786560.0,100000000.0,9998251.0,0.0,9998251.0,120.0,,
primary-w4,1,baseline,10,2316.808101,2313.90448,2323.092278,1.0,120,501260.0,501260,,,501528.0,501528,,,501516.0,501516,,,,,,,,,,,,,,
primary-w4,1,candidate,10,325.9625865,321.319534,328.690442,7.107589020803159,120,1020192.0,1020192,,,1020192.0,1110176,,,979104.0,979104,893491.0,82384.0,324531717.5,175093.0,10000.0,10000.0,786560.0,100000000.0,9998251.0,0.0,9998251.0,120.0,,
right-swapped,0,baseline,10,24.0246015,23.028224,26.802993,1.0,120,322572.0,355828,322840.0,356096,,,322572.0,322572,,,,,,,,,,,,,,,24.159554,41.391492574738756
right-swapped,0,candidate,10,22.1008945,21.183884,26.056166,1.0870420425743401,120,32719600.0,32719600,32719612.0,32719612,,,32678448.0,32678448,,,17299590.5,122048.5,4098665.0,219811.0,1000000.0,10000.0,32524288.0,10000.0,100044.0,0.0,100044.0,120.0,22.2757815,44.89180323482702
right-swapped,1,baseline,10,22.699814,22.279854,25.215033,1.0,120,322572.0,323596,322840.0,323864,,,322572.0,322572,,,,,,,,,,,,,,,22.8427615,43.77754414675301
right-swapped,1,candidate,10,21.4420275,19.731709,25.950067,1.0586598678693049,120,32719600.0,32719600,32719612.0,32719612,,,32678448.0,32678448,,,16391483.0,97011.5,3980068.0,181855.5,1000000.0,10000.0,32524288.0,10000.0,100044.0,0.0,100044.0,120.0,21.642442,46.20550675381271
right,0,baseline,10,3480.647647,3370.669068,3494.917633,1.0,180,137965068.0,137965068,137965336.0,137965336,,,137540620.0,137540620,,,,,,,,,,,,,,,3487.414188,0.2867454067947951
right,0,candidate,10,117.180442,113.201418,125.647731,29.703315566944184,180,1063280.0,1063280,1063280.0,1120432,,,989360.0,989360,,,1038477.0,82043.5,115211125.0,235600.5,10000.0,10000.0,786560.0,10000000.0,999862.0,9000138.0,10000000.0,180.0,117.434006,8.515420993132091
right,1,baseline,10,3445.010317,3371.690648,3505.071594,1.0,180,137965068.0,137965068,137965336.0,137965336,,,137540620.0,137540620,,,,,,,,,,,,,,,3452.896316,0.28961193979854216
right,1,candidate,10,115.32316,112.531793,122.232306,29.87266666123266,180,1063280.0,1063280,1063280.0,1063280,,,989360.0,989360,,,853426.0,67927.0,114041082.5,190852.0,10000.0,10000.0,786560.0,10000000.0,999862.0,9000138.0,10000000.0,180.0,115.5766295,8.652268233864701
scalar-inner,0,baseline,10,210.655798,208.929885,212.340495,1.0,1,576696.0,839536,576952.0,839792,,,353292.0,353292,,,,,,,,,,,,,,,210.8720475,4.742212217577107
scalar-inner,0,candidate,10,30.5126405,29.501334,31.008563,6.9038862107001195,1,838592.0,1310984,838592.0,1310984,,,838592.0,838592,,,810430.5,84067.5,29144301.5,18850.0,10000.0,10000.0,786432.0,10000000.0,999862.0,0.0,999862.0,1.0,30.723585,32.548284973905226
scalar-inner,1,baseline,10,210.4952165,208.564451,212.684475,1.0,1,353292.0,353292,353548.0,353548,,,353292.0,353292,,,,,,,,,,,,,,,210.699919,4.746086304855201
scalar-inner,1,candidate,10,29.5761685,28.84156,31.439339,7.1170549525372095,1,838592.0,838592,838592.0,838592,,,838592.0,838592,,,632673.0,82144.0,28754167.0,17958.5,10000.0,10000.0,786432.0,10000000.0,999862.0,0.0,999862.0,1.0,29.768163,33.59293618487644
scalar-left,0,baseline,10,369.7376235,367.803135,373.677443,1.0,1,455860.0,648456,456116.0,648712,,,287752.0,287752,,,,,,,,,,,,,,,369.9717555,2.702909033281596
scalar-left,0,candidate,10,54.5901445,53.899132,55.222768,6.772973892750916,1,838592.0,1338208,838592.0,1338208,,,838592.0,838592,,,998262.0,86461.5,53265396.5,19141.0,10000.0,10000.0,786432.0,10000000.0,999862.0,9000138.0,10000000.0,1.0,54.807215,18.24577293336288
scalar-left,1,baseline,10,369.772404,366.479014,371.588061,1.0,1,287752.0,287752,288008.0,288008,,,287752.0,287752,,,,,,,,,,,,,,,370.0002205,2.702701092038944
scalar-left,1,candidate,10,53.9677345,53.044924,58.737229,6.8517310838756815,1,838592.0,838592,838592.0,838592,,,838592.0,838592,,,612310.5,65557.5,53220652.5,17081.5,10000.0,10000.0,786432.0,10000000.0,999862.0,9000138.0,10000000.0,1.0,54.169743,18.46049001930838
scalar-right,0,baseline,10,2851.797282,2843.888855,2856.682244,1.0,1,137823756.0,137823756,137824012.0,137824012,,,137389068.0,137389068,,,,,,,,,,,,,,,2858.0764405,0.34988567339544535
scalar-right,0,candidate,10,50.881386,49.011628,55.301883,56.04794810424386,1,838592.0,1310984,838592.0,1310984,,,838592.0,838592,,,909059.5,80670.5,49261245.0,20188.0,10000.0,10000.0,786432.0,10000000.0,999862.0,9000138.0,10000000.0,1.0,51.1145715,19.56389285196297
scalar-right,1,baseline,10,2846.2989205,2823.703818,2914.405095,1.0,1,137823756.0,137823756,137824012.0,137824012,,,137389068.0,137389068,,,,,,,,,,,,,,,2853.7039385,0.3504217751914491
scalar-right,1,candidate,10,49.8134785,48.518744,56.461176,57.139131941970284,1,838592.0,838592,838592.0,838592,,,838592.0,838592,,,681474.0,77259.5,48939925.0,17417.5,10000.0,10000.0,786432.0,10000000.0,999862.0,9000138.0,10000000.0,1.0,50.0261125,19.989560452053915
zero-matches,0,baseline,10,56.7279925,56.361157,57.383508,1.0,0,294412.0,294412,294676.0,294676,,,294412.0,294412,,,,,,,,,,,,,,,56.967826,17.553767981246114
zero-matches,0,candidate,10,7.812384,6.898731,9.987477,7.2612908556466245,0,209328.0,209328,209328.0,209328,,,188656.0,188656,,,468070.5,67471.0,7169642.5,18650.0,1.0,1.0,1216.0,10000000.0,0.0,0.0,0.0,0.0,7.974052,125.40675681573182
zero-matches,1,baseline,10,56.519282,56.221505,58.542155,1.0,0,294412.0,294412,294676.0,294676,,,294412.0,294412,,,,,,,,,,,,,,,56.679341,17.64311268192056
zero-matches,1,candidate,10,7.6967735,6.763899,9.038533,7.34324350326796,0,209328.0,209328,209328.0,209328,,,188656.0,188656,,,265686.5,60238.0,7265467.0,18735.0,1.0,1.0,1216.0,10000000.0,0.0,0.0,0.0,0.0,7.856046,127.29049702611212
