storage,mode,dimension,cardinality,phase,heap_bytes,heap_objects,largest_array_bytes,query_native_bytes
native,scalar,fanout,262144,closed1,269000,5787,16400,0
native,scalar,fanout,262144,live2,269808,5808,16400,4202624
native,scalar,fanout,262144,output2,269808,5808,16400,4202624
native,scalar,fanout,262144,closed2,269000,5787,16400,0
mixed,owner,rows,1024,live1,533376,12997,16400,22116
mixed,owner,rows,1024,output1,533376,12997,16400,22116
mixed,owner,rows,1024,closed1,532568,12976,16400,0
mixed,owner,rows,1024,live2,533504,12997,16400,21360
mixed,owner,rows,1024,output2,533504,12997,16400,21360
mixed,owner,rows,1024,closed2,532696,12976,16400,0
mixed,owner,rows,8192,live1,534312,12997,16400,55396
mixed,owner,rows,8192,output1,534312,12997,16400,55396
mixed,owner,rows,8192,closed1,533504,12976,16400,0
mixed,owner,rows,8192,live2,534312,12997,16400,55396
mixed,owner,rows,8192,output2,534312,12997,16400,55396
mixed,owner,rows,8192,closed2,533504,12976,16400,0
mixed,owner,rows,65536,live1,534544,12997,16400,349284
mixed,owner,rows,65536,output1,534544,12997,16400,349284
mixed,owner,rows,65536,closed1,533736,12976,16400,0
mixed,owner,rows,65536,live2,534544,12997,16400,349284
mixed,owner,rows,65536,output2,534544,12997,16400,349284
mixed,owner,rows,65536,closed2,533736,12976,16400,0
mixed,owner,rows,262144,live1,534592,12997,16400,1356900
mixed,owner,rows,262144,output1,534592,12997,16400,1356900
mixed,owner,rows,262144,closed1,533784,12976,16400,0
mixed,owner,rows,262144,live2,534592,12997,16400,1356900
mixed,owner,rows,262144,output2,534592,12997,16400,1356900
mixed,owner,rows,262144,closed2,533784,12976,16400,0
mixed,owner,keys,1024,live1,536136,13021,16400,82044
mixed,owner,keys,1024,output1,536136,13021,16400,82044
mixed,owner,keys,1024,closed1,535328,13000,16400,0
mixed,owner,keys,1024,live2,536136,13021,16400,80532
mixed,owner,keys,1024,output2,536136,13021,16400,80532
mixed,owner,keys,1024,closed2,535328,13000,16400,0
mixed,owner,keys,8192,live1,536160,13021,16400,574832
mixed,owner,keys,8192,output1,536160,13021,16400,574832
mixed,owner,keys,8192,closed1,535352,13000,16400,0
mixed,owner,keys,8192,live2,536160,13021,16400,572564
mixed,owner,keys,8192,output2,536160,13021,16400,572564
mixed,owner,keys,8192,closed2,535352,13000,16400,0
mixed,owner,keys,65536,live1,536192,13021,16400,4539492
mixed,owner,keys,65536,output1,536192,13021,16400,4539492
mixed,owner,keys,65536,closed1,535384,13000,16400,0
mixed,owner,keys,65536,live2,536192,13021,16400,4539492
mixed,owner,keys,65536,output2,536192,13021,16400,4539492
mixed,owner,keys,65536,closed2,535384,13000,16400,0
mixed,owner,keys,262144,live1,536192,13021,16400,18130020
mixed,owner,keys,262144,output1,536192,13021,16400,18130020
mixed,owner,keys,262144,closed1,535384,13000,16400,0
mixed,owner,keys,262144,live2,536192,13021,16400,18130020
mixed,owner,keys,262144,output2,536192,13021,16400,18130020
mixed,owner,keys,262144,closed2,535384,13000,16400,0
mixed,owner,symbols_groups,1024,live1,536192,13021,16400,188660
mixed,owner,symbols_groups,1024,output1,536192,13021,16400,188660
mixed,owner,symbols_groups,1024,closed1,535384,13000,16400,0
mixed,owner,symbols_groups,1024,live2,536192,13021,16400,184934
mixed,owner,symbols_groups,1024,output2,536192,13021,16400,184934
mixed,owner,symbols_groups,1024,closed2,535384,13000,16400,0
mixed,owner,symbols_groups,8192,live1,536192,13021,16400,1609382
mixed,owner,symbols_groups,8192,output1,536192,13021,16400,1609382
mixed,owner,symbols_groups,8192,closed1,535384,13000,16400,0
mixed,owner,symbols_groups,8192,live2,536192,13021,16400,1601816
mixed,owner,symbols_groups,8192,output2,536192,13021,16400,1601816
mixed,owner,symbols_groups,8192,closed2,535384,13000,16400,0
mixed,owner,symbols_groups,65536,live1,536192,13021,16400,12880614
mixed,owner,symbols_groups,65536,output1,536192,13021,16400,12880614
mixed,owner,symbols_groups,65536,closed1,535384,13000,16400,0
mixed,owner,symbols_groups,65536,live2,536192,13021,16400,12965606
mixed,owner,symbols_groups,65536,output2,536192,13021,16400,12965606
mixed,owner,symbols_groups,65536,closed2,535384,13000,16400,0
mixed,owner,symbols_groups,262144,live1,536192,13021,16400,51475686
mixed,owner,symbols_groups,262144,output1,536192,13021,16400,51475686
mixed,owner,symbols_groups,262144,closed1,535384,13000,16400,0
mixed,owner,symbols_groups,262144,live2,536192,13021,16400,51072230
mixed,owner,symbols_groups,262144,output2,536192,13021,16400,51072230
mixed,owner,symbols_groups,262144,closed2,535384,13000,16400,0
mixed,owner,fanout,1024,live1,536032,13011,16400,46140
mixed,owner,fanout,1024,output1,536032,13011,16400,46140
mixed,owner,fanout,1024,closed1,535936,13007,16400,0
mixed,owner,fanout,1024,live2,536032,13011,16400,46140
mixed,owner,fanout,1024,output2,536032,13011,16400,46140
mixed,owner,fanout,1024,closed2,535936,13007,16400,0
mixed,owner,fanout,8192,live1,536032,13011,16400,275516
mixed,owner,fanout,8192,output1,536032,13011,16400,275516
mixed,owner,fanout,8192,closed1,535936,13007,16400,0
mixed,owner,fanout,8192,live2,536032,13011,16400,275516
mixed,owner,fanout,8192,output2,536032,13011,16400,275516
mixed,owner,fanout,8192,closed2,535936,13007,16400,0
mixed,owner,fanout,65536,live1,536032,13011,16400,2110524
mixed,owner,fanout,65536,output1,536032,13011,16400,2110524
mixed,owner,fanout,65536,closed1,535936,13007,16400,0
mixed,owner,fanout,65536,live2,536032,13011,16400,2110524
mixed,owner,fanout,65536,output2,536032,13011,16400,2110524
mixed,owner,fanout,65536,closed2,535936,13007,16400,0
mixed,owner,fanout,262144,live1,536032,13011,16400,8401980
mixed,owner,fanout,262144,output1,536032,13011,16400,8401980
mixed,owner,fanout,262144,closed1,535936,13007,16400,0
mixed,owner,fanout,262144,live2,536032,13011,16400,8401980
mixed,owner,fanout,262144,output2,536032,13011,16400,8401980
mixed,owner,fanout,262144,closed2,535936,13007,16400,0
mixed,sharded,rows,1024,live1,1738560,31429,16400,1327684
mixed,sharded,rows,1024,output1,1738560,31429,16400,1327684
mixed,sharded,rows,1024,closed1,1737752,31408,16400,0
mixed,sharded,rows,1024,live2,1738688,31429,16400,1327684
mixed,sharded,rows,1024,output2,1738688,31429,16400,1327684
mixed,sharded,rows,1024,closed2,1737880,31408,16400,0
mixed,sharded,rows,8192,live1,1739496,31429,16400,1360964
mixed,sharded,rows,8192,output1,1739496,31429,16400,1360964
mixed,sharded,rows,8192,closed1,1738688,31408,16400,0
mixed,sharded,rows,8192,live2,1739496,31429,16400,1360964
mixed,sharded,rows,8192,output2,1739496,31429,16400,1360964
mixed,sharded,rows,8192,closed2,1738688,31408,16400,0
mixed,sharded,rows,65536,live1,1739728,31429,16400,1654852
mixed,sharded,rows,65536,output1,1739728,31429,16400,1654852
mixed,sharded,rows,65536,closed1,1738920,31408,16400,0
mixed,sharded,rows,65536,live2,1739728,31429,16400,1654852
mixed,sharded,rows,65536,output2,1739728,31429,16400,1654852
mixed,sharded,rows,65536,closed2,1738920,31408,16400,0
mixed,sharded,rows,262144,live1,1739776,31429,16400,2662468
mixed,sharded,rows,262144,output1,1739776,31429,16400,2662468
mixed,sharded,rows,262144,closed1,1738968,31408,16400,0
mixed,sharded,rows,262144,live2,1739776,31429,16400,2662468
mixed,sharded,rows,262144,output2,1739776,31429,16400,2662468
mixed,sharded,rows,262144,closed2,1738968,31408,16400,0
mixed,sharded,keys,1024,live1,1741320,31453,16400,1386856
mixed,sharded,keys,1024,output1,1741320,31453,16400,1386856
mixed,sharded,keys,1024,closed1,1740512,31432,16400,0
mixed,sharded,keys,1024,live2,1741320,31453,16400,1386856
mixed,sharded,keys,1024,output2,1741320,31453,16400,1386856
mixed,sharded,keys,1024,closed2,1740512,31432,16400,0
mixed,sharded,keys,8192,live1,1741344,31453,16400,1881156
mixed,sharded,keys,8192,output1,1741344,31453,16400,1881156
mixed,sharded,keys,8192,closed1,1740536,31432,16400,0
mixed,sharded,keys,8192,live2,1741344,31453,16400,1879644
mixed,sharded,keys,8192,output2,1741344,31453,16400,1879644
mixed,sharded,keys,8192,closed2,1740536,31432,16400,0
mixed,sharded,keys,65536,live1,1741376,31453,16400,5845060
