storage,mode,dimension,cardinality,phase,heap_bytes,heap_objects,largest_array_bytes,query_native_bytes
native,sharded,keys,65536,output1,1537936,24995,16400,5841280
native,sharded,keys,65536,closed1,1536272,24947,16400,0
native,sharded,keys,65536,live2,1537936,24995,16400,5841280
native,sharded,keys,65536,output2,1537936,24995,16400,5841280
native,sharded,keys,65536,closed2,1536272,24947,16400,0
native,sharded,keys,262144,live1,1537936,24995,16400,19431808
native,sharded,keys,262144,output1,1537936,24995,16400,19431808
native,sharded,keys,262144,closed1,1536272,24947,16400,0
native,sharded,keys,262144,live2,1537936,24995,16400,19431808
native,sharded,keys,262144,output2,1537936,24995,16400,19431808
native,sharded,keys,262144,closed2,1536272,24947,16400,0
native,sharded,symbols_groups,1024,live1,1537936,24995,16400,1409536
native,sharded,symbols_groups,1024,output1,1537936,24995,16400,1409536
native,sharded,symbols_groups,1024,closed1,1536272,24947,16400,0
native,sharded,symbols_groups,1024,live2,1537936,24995,16400,1409536
native,sharded,symbols_groups,1024,output2,1537936,24995,16400,1409536
native,sharded,symbols_groups,1024,closed2,1536272,24947,16400,0
native,sharded,symbols_groups,8192,live1,1537936,24995,16400,2139136
native,sharded,symbols_groups,8192,output1,1537936,24995,16400,2139136
native,sharded,symbols_groups,8192,closed1,1536272,24947,16400,0
native,sharded,symbols_groups,8192,live2,1537936,24995,16400,2139136
native,sharded,symbols_groups,8192,output2,1537936,24995,16400,2139136
native,sharded,symbols_groups,8192,closed2,1536272,24947,16400,0
native,sharded,symbols_groups,65536,live1,1537936,24995,16400,11870208
native,sharded,symbols_groups,65536,output1,1537936,24995,16400,11870208
native,sharded,symbols_groups,65536,closed1,1536272,24947,16400,0
native,sharded,symbols_groups,65536,live2,1537936,24995,16400,11870208
native,sharded,symbols_groups,65536,output2,1537936,24995,16400,11870208
native,sharded,symbols_groups,65536,closed2,1536272,24947,16400,0
native,sharded,symbols_groups,262144,live1,1537936,24995,16400,47480832
native,sharded,symbols_groups,262144,output1,1537936,24995,16400,47480832
native,sharded,symbols_groups,262144,closed1,1536272,24947,16400,0
native,sharded,symbols_groups,262144,live2,1537936,24995,16400,47480832
native,sharded,symbols_groups,262144,output2,1537936,24995,16400,47480832
native,sharded,symbols_groups,262144,closed2,1536272,24947,16400,0
native,sharded,fanout,1024,live1,1537936,24995,16400,1351552
native,sharded,fanout,1024,output1,1537936,24995,16400,1351552
native,sharded,fanout,1024,closed1,1536272,24947,16400,0
native,sharded,fanout,1024,live2,1537936,24995,16400,1351552
native,sharded,fanout,1024,output2,1537936,24995,16400,1351552
native,sharded,fanout,1024,closed2,1536272,24947,16400,0
native,sharded,fanout,8192,live1,1537936,24995,16400,1580928
native,sharded,fanout,8192,output1,1537936,24995,16400,1580928
native,sharded,fanout,8192,closed1,1536272,24947,16400,0
native,sharded,fanout,8192,live2,1537936,24995,16400,1580928
native,sharded,fanout,8192,output2,1537936,24995,16400,1580928
